:3
3.3VLED1:1
3V3LED1:1
C1:1
C11:1
C12:1
C13:1
C14:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
G***:10
J1:1
J10:1
J11:1
J12:1
J13:1
J14:1
J15:1
J16:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
L1:1
L2:1
L3:1
R1:1
R2:1
R3:1
U1:1
Y1:1
